StartTime,ServiceName,AllocatedCPU,HealthyHosts,CPUAverage
1535482500,ServiceName1,1000,1,0.0214359324
1535504760,ServiceName1,1000,1,0.0229377079
1535507940,ServiceName1,1000,1,0.0240977121
1535511120,ServiceName1,1000,1,0.0229315283
1535485680,ServiceName1,1000,1,0.0231203165
1535483400,ServiceName1,1000,1,0.0241769150
1535486580,ServiceName1,1000,1,0.0246368239
1535489760,ServiceName1,1000,1,0.0208607209
1535437740,ServiceName1,1000,1,0.0237752110
1535508840,ServiceName1,1000,1,0.0236725423
1535512020,ServiceName1,1000,1,0.0240203980
1535515200,ServiceName1,1000,1,0.0225518014
1535463180,ServiceName1,1000,1,0.0233971262
1535450460,ServiceName1,1000,1,0.0215266177
1535475900,ServiceName1,1000,1,0.0220222973
1535509800,ServiceName1,1000,1,0.0237543454
1535516160,ServiceName1,1000,1,0.0237977931
1535439780,ServiceName1,1000,1,0.0234485919
1535490720,ServiceName1,1000,1,0.0222325990
1535516100,ServiceName1,1000,1,0.0245468691
1535443920,ServiceName1,1000,1,0.0213884360
1535437560,ServiceName1,1000,1,0.0243667284
1535513880,ServiceName1,1000,1,0.0210248913
1535520240,ServiceName1,1000,1,0.0228491717
1535443860,ServiceName1,1000,1,0.0241151691
1535520180,ServiceName1,1000,1,0.0237414373
1535484060,ServiceName1,1000,1,0.0216142868
1535441640,ServiceName1,1000,1,0.0237462000
1535448000,ServiceName1,1000,1,0.0248643216
1535471340,ServiceName1,1000,1,0.0220721561
1535509500,ServiceName1,1000,1,0.0240003553
1535496780,ServiceName1,1000,1,0.0238531304
1535517960,ServiceName1,1000,1,0.0205531083
1535447940,ServiceName1,1000,1,0.0236438659
1535473380,ServiceName1,1000,1,0.0220743672
1535445720,ServiceName1,1000,1,0.0234586952
1535471160,ServiceName1,1000,1,0.0211147013
1535452080,ServiceName1,1000,1,0.0232735961
1535477520,ServiceName1,1000,1,0.0230559031
1535477460,ServiceName1,1000,1,0.0241027032
1535452020,ServiceName1,1000,1,0.0229535929
1535449860,ServiceName1,1000,1,0.0237016937
1535446680,ServiceName1,1000,1,0.0219868903
1535480640,ServiceName1,1000,1,0.0212980986
1535441340,ServiceName1,1000,1,0.0233858670
1535472120,ServiceName1,1000,1,0.0229292722
1535475300,ServiceName1,1000,1,0.0212307401
1535517660,ServiceName1,1000,1,0.0203863858
1535504940,ServiceName1,1000,1,0.5276902560
1535484720,ServiceName1,1000,1,0.0253674638
1535476200,ServiceName1,1000,1,0.0242672947
1535510160,ServiceName1,1000,1,0.0244150321
1535450760,ServiceName1,1000,1,0.0216340991
1535453940,ServiceName1,1000,1,0.0216279579
1535479380,ServiceName1,1000,1,0.0201846308
1535488800,ServiceName1,1000,1,0.0230979835
1535449500,ServiceName1,1000,1,0.0225615215
1535480280,ServiceName1,1000,1,0.0240171087
1535483460,ServiceName1,1000,1,0.0244889411
1535514240,ServiceName1,1000,1,0.0230675975
1535462220,ServiceName1,1000,1,0.0296589867
1535474940,ServiceName1,1000,1,0.0217281225
1535505720,ServiceName1,1000,1,0.0232635552
1535508900,ServiceName1,1000,1,0.0208572128
1535442000,ServiceName1,1000,1,0.0238858561
1535484360,ServiceName1,1000,1,0.0239083800
1535487540,ServiceName1,1000,1,0.0229450579
1535518320,ServiceName1,1000,1,0.0209706095
1535512980,ServiceName1,1000,1,0.0202160753
1535442960,ServiceName1,1000,1,0.0218257327
1535485320,ServiceName1,1000,1,0.0255322960
1535519280,ServiceName1,1000,1,0.0234402906
1535510760,ServiceName1,1000,1,0.0230357390
1535440740,ServiceName1,1000,1,0.0201559799
1535483100,ServiceName1,1000,1,0.0203485918
1535517060,ServiceName1,1000,1,0.0210823044
1535447040,ServiceName1,1000,1,0.0225219155
1535470380,ServiceName1,1000,1,0.0219734062
1535508540,ServiceName1,1000,1,0.4895548465
1535438520,ServiceName1,1000,1,0.0209444433
1535495820,ServiceName1,1000,1,0.0249286738
1535523360,ServiceName1,1000,1,0.0236066781
1535514840,ServiceName1,1000,1,0.0220190340
1535444820,ServiceName1,1000,1,0.0232417530
1535521140,ServiceName1,1000,1,0.5101455985
1535451120,ServiceName1,1000,1,0.0218788736
1535442600,ServiceName1,1000,1,0.0215047008
1535476560,ServiceName1,1000,1,0.0241743713
1535518920,ServiceName1,1000,1,0.0227244101
1535448900,ServiceName1,1000,1,0.0228431398
1535440380,ServiceName1,1000,1,0.0250206052
1535474340,ServiceName1,1000,1,0.4875813701
1535455200,ServiceName1,1000,1,0.0249284267
1535503980,ServiceName1,1000,1,0.0227824022
1535512380,ServiceName1,1000,1,0.0216158757
1535469900,ServiceName1,1000,1,0.0202597535
1535447640,ServiceName1,1000,1,0.0210046017
1535450820,ServiceName1,1000,1,0.0201031596
1535454000,ServiceName1,1000,1,0.0207073358
1535515560,ServiceName1,1000,1,0.0224842182
1535518740,ServiceName1,1000,1,0.0238451052
1535521920,ServiceName1,1000,1,0.0238812931
1535478300,ServiceName1,1000,1,0.0221205741
1535481480,ServiceName1,1000,1,0.0230416248
1535484660,ServiceName1,1000,1,0.0226352297
1535487840,ServiceName1,1000,1,0.0235319226
1535464440,ServiceName1,1000,1,0.0212610554
1535467620,ServiceName1,1000,1,0.0227449171
1535470800,ServiceName1,1000,1,0.0204268702
1535450580,ServiceName1,1000,1,0.0227212534
1535453760,ServiceName1,1000,1,0.0207759272
1535444220,ServiceName1,1000,1,0.0305952234
1535447400,ServiceName1,1000,1,0.0240223001
1535481240,ServiceName1,1000,1,0.0239219393
1535484420,ServiceName1,1000,1,0.0233841547
1535503500,ServiceName1,1000,1,0.0228207809
