StartTime,ServiceName,AllocatedCPU,HealthyHosts,CPUAverage
1535302500,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535277060,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535317320,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535268540,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535342760,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535274840,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535300280,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535344860,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535279040,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535302380,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535340540,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535275800,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535327820,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535301240,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535278980,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535282160,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535304420,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535307600,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535279880,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535305320,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535283060,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535286240,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535308500,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535311680,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535272380,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535335980,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535309400,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535312580,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535338020,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535341200,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535334840,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535315760,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535316660,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535342160,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535342100,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535267820,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535293260,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535280540,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535314440,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535305980,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535339880,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535269860,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535320800,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535346240,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535346180,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535267640,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535274000,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535343960,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535273940,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535314140,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.51
1535278080,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535271720,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535301420,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535339580,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535326860,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535278020,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535303460,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535285280,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535276760,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535279940,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.50
1535310720,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535271420,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535302200,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535305380,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535335020,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535314800,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535340240,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535306280,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535280840,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535284020,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535309460,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535318880,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535344320,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535266860,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535279580,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535310360,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
